temps;charge
24;2.54
692;4.69
1336;7.04
2016;9.29
2712;11.63
3464;13.98
4208;16.32
4944;18.48
5684;20.63
6428;22.78
7160;24.83
7904;26.78
8648;28.74
9396;30.60
10132;32.45
10932;34.31
11728;36.17
12528;37.93
13320;39.69
14116;41.35
15180;43.60
16288;45.75
17392;47.90
18496;49.76
19600;51.71
20708;53.57
21812;55.33
22916;56.99
24020;58.65
25128;60.22
26232;61.78
27336;63.15
28440;64.52
29548;65.79
30652;67.16
31756;68.33
32860;69.60
33964;70.77
35072;71.85
36176;72.83
37280;73.90
38384;74.88
39492;75.76
40596;76.74
41700;77.61
42804;78.40
43912;79.18
45016;79.96
46120;80.65
47224;81.33
48336;82.01
49436;82.60
50540;83.28
51644;83.87
52752;84.46
53856;85.04
54960;85.53
56064;86.12
57172;86.61
58276;87.19
59380;87.59
60484;88.07
61592;88.47
62696;88.86
63800;89.25
64904;89.54
66012;89.93
67120;90.22
68224;90.62
69328;91.01
70432;91.30
71536;91.59
72644;91.89
73748;92.08
74852;92.47
75956;92.77
77064;92.96
78168;93.26
79272;93.55
80376;93.74
81484;93.84
82588;94.13
83692;94.23
84800;94.43
85904;94.62
87008;94.82
88112;94.92
89216;95.21
90328;95.41
91428;95.41
92532;95.60
93640;95.70
94744;95.89
95848;95.99
96952;96.19
98056;96.29
99164;96.48
100268;96.58
101460;96.77
102648;96.77
103836;96.97
105028;96.97
106220;97.07
107408;97.07
108596;97.26
109792;97.36
110980;97.36
112168;97.46
113356;97.56
114548;97.65
115740;97.75
116936;97.85
118116;97.95
119308;98.04
120496;98.14
121688;98.14
122880;98.24
124068;98.24
125256;98.24
126448;98.34
127640;98.34
128828;98.34
130020;98.53
131208;98.44
132396;98.53
133588;98.63
134776;98.53
135968;98.63
137156;98.73
138348;98.83
139536;98.73
140728;98.92
141916;98.83
143108;98.92
144296;98.92
145488;98.92
146676;98.92
147868;98.92
149056;99.02
150248;99.02
151436;99.02
152628;99.02
153824;99.12
155008;99.12
156196;99.12
157388;99.22
158576;99.22
159768;99.22
160964;99.32
162148;99.22
163336;99.32
164528;99.32
165716;99.32
166908;99.32
168096;99.32
169288;99.32
170476;99.32
171668;99.32
172856;99.32
174048;99.32
175236;99.41
176428;99.51
177616;99.51
178808;99.51
179996;99.51
181188;99.51
182376;99.51
183568;99.51
184756;99.51
185948;99.51
187136;99.51
188328;99.51
189516;99.41
190708;99.51
191896;99.51
193088;99.51
194276;99.51
195468;99.51
196656;99.61
197852;99.61
199036;99.61
200228;99.61
201416;99.71
202608;99.71
203796;99.71
204992;99.61
206176;99.61
207368;99.61
208556;99.61
209748;99.61
210936;99.61
212128;99.71
213316;99.61
214508;99.61
215696;99.71
216888;99.71
218076;99.71
219268;99.71
220456;99.71
221648;99.71
222836;99.61
224028;99.71
225216;99.61
226408;99.61
227596;99.71
228788;99.71
229976;99.71
231168;99.71
232356;99.71
233548;99.71
234736;99.71
235928;99.71
237116;99.80
238308;99.71
239496;99.71
240688;99.80
241884;99.71
243068;99.71
244256;99.71
245448;99.71
246636;99.71
247828;99.71
249016;99.71
250208;99.71
251396;99.71
252588;99.71
253776;99.71
254968;99.80
256156;99.71
257348;99.80
258536;99.80
259728;99.80
260916;99.71
262108;99.90
263296;99.90
264488;99.71
265676;99.80
266868;99.71
268056;99.71
269248;99.80
